Frequency (Hz),V_in rms (mV),Std V_in rms (microV),V_out rms (mV),Std V_out rms (microV),V_out/V_in,omega,n,k
20,942.25,384.53,853.46,319.1,0.905768108,125.6,0,0
6473,903.69,86.212,837.92,80.362,0.927220618,40650.44,1,0.0785
12970,851.28,78.675,807.92,75.304,0.949064938,81451.6,2,0.157
19490,820.8,66.522,730.39,51.809,0.889851365,122397.2,3,0.2355
26050,858.78,46.151,651,82.843,0.75805212,163594,4,0.314
32260,880.88,113,544.4,66,0.618018345,202592.8,5,0.3925
39070.2,895.94,86.537,724.46,59.267,0.808603255,245360.856,6,0.471
45339.7,935.45,73.206,744.15,50.152,0.795499492,284733.316,7,0.5495
51370,953.32,119.12,756.34,76.845,0.793374733,322603.6,8,0.628
57590.3,949.25,65.342,735.01,48.323,0.774306031,361667.084,9,0.7065
62770.1,875.49,72.45,841.44,65.654,0.961107494,394196.228,10,0.785
68900.5,890.27,77.49,669.59,52.857,0.752120143,432695.14,11,0.8635
74949.9,879.84,77.129,499.67,76.432,0.567910075,470685.372,12,0.942
80089.7,807.54,62.888,463.42,97.73,0.57386631,502963.316,13,1.0205
86100.4,892.94,95.421,380.55,48.642,0.426176451,540710.512,14,1.099
91010,958.93,128.07,299.29,192.17,0.312108287,571542.8,15,1.1775
97272.5,939.73,135.24,494.95,64.356,0.526693838,610871.3,16,1.256
102099,950.46,99.188,509.98,95.992,0.536561244,641181.72,17,1.3345
106303,862.97,123.85,709.16,94.431,0.821766689,667582.84,18,1.413
110202,895.18,113.25,720.59,99.09,0.804966599,692068.56,19,1.4915
114096,946.09,125.68,554.58,73.134,0.586181019,716522.88,20,1.57
118901,998.33,142.28,250.32,54.478,0.250738734,746698.28,21,1.6485
123294,1010.4,111.9,205.36,59.796,0.203246239,774286.32,22,1.727
126299,818.86,117.05,332.52,185.39,0.406076741,793157.72,23,1.8055
129504,945.14,102.72,208.07,158.57,0.22014728,813285.12,24,1.884
133301,959.5,115.58,110.5,145.98,0.115164148,837130.28,25,1.9625
136394,927,141.16,115.43,121.62,0.124519957,856554.32,26,2.041
139600,1017.4,119.06,102.04,86.033,0.100294869,876688,27,2.1195
141900,989.69,109.18,141.92,89.265,0.143398438,891132,28,2.198
143801,1039.2,139.06,108.43,78.815,0.104339877,903070.28,29,2.2765
146108,1073.83,126.04,44.429,199.85,0.041374333,917558.24,30,2.355
147701,1066.8,138.78,26.663,379.58,0.024993438,927562.28,31,2.4335
149199,1065.2,148.06,7.0738,7.191,0.006640819,936969.72,32,2.512
150889,1086.7,147.06,1.6568,23.559,0.001524616,947582.92,33,2.5905
152096,1097.3,123.85,1.4141,30.526,0.001288709,955162.88,34,2.669